Extension_ID,Week,Permissions_Count,Network_Requests,Cookie_Access,API_Calls,Label
ext_610,2,2,7,0,18,Normal
ext_307,1,5,11,0,11,Normal
ext_180,1,4,19,0,39,Normal
ext_968,3,5,10,1,41,Normal
ext_602,2,5,8,1,19,Normal
ext_155,3,4,15,0,37,Normal
ext_503,4,2,14,0,49,Normal
ext_423,1,1,6,1,42,Normal
ext_433,3,3,5,0,20,Normal
ext_582,4,3,11,0,36,Normal
ext_315,4,3,11,1,22,Normal
ext_284,2,5,7,0,22,Normal
ext_668,4,4,6,0,14,Normal
ext_925,3,14,305,1,134,Suspicious
ext_904,1,3,17,0,30,Normal
ext_807,1,2,8,1,45,Normal
ext_560,3,3,11,0,40,Normal
ext_452,2,9,229,1,273,Suspicious
ext_690,3,5,5,0,27,Normal
ext_789,3,4,2,1,44,Normal
ext_574,4,2,5,0,31,Normal
ext_969,3,1,5,0,19,Normal
ext_424,4,3,19,1,22,Normal
ext_899,2,3,18,1,31,Normal
ext_288,1,2,7,0,49,Normal
ext_315,1,1,3,0,35,Normal
ext_126,2,5,2,0,21,Normal
ext_186,3,4,9,0,20,Normal
ext_553,1,2,16,0,6,Normal
ext_779,3,3,15,1,39,Normal
ext_661,4,5,5,1,45,Normal
ext_636,2,5,9,0,35,Normal
ext_924,3,12,237,1,205,Suspicious
ext_259,3,1,16,0,27,Normal
ext_580,4,4,15,0,5,Normal
ext_917,4,2,0,0,17,Normal
ext_674,2,2,5,1,29,Normal
ext_369,3,18,172,1,232,Suspicious
ext_391,1,5,8,1,17,Normal
ext_286,4,1,20,1,44,Normal
ext_378,2,4,6,0,6,Normal
ext_150,3,1,5,0,23,Normal
ext_228,1,1,7,0,14,Normal
ext_605,4,4,9,1,28,Normal
ext_813,3,3,2,0,8,Normal
ext_894,3,5,15,0,17,Normal
ext_936,4,1,3,0,29,Normal
ext_353,2,1,6,1,11,Normal
ext_584,1,3,10,0,45,Normal
ext_862,3,5,3,0,35,Normal
ext_303,4,1,6,0,20,Normal
ext_432,1,20,191,1,249,Suspicious
ext_505,2,1,1,1,49,Normal
ext_480,3,2,5,1,10,Normal
ext_877,1,1,11,0,49,Normal
ext_228,2,3,17,0,33,Normal
ext_121,4,3,4,0,7,Normal
ext_823,2,3,17,1,17,Normal
ext_656,2,4,8,0,9,Normal
ext_560,1,3,17,0,34,Normal
ext_894,3,4,5,0,44,Normal
ext_894,4,3,2,1,17,Normal
ext_884,3,5,9,0,31,Normal
ext_213,2,18,84,1,111,Suspicious
ext_282,1,2,3,1,17,Normal
ext_132,3,4,15,0,8,Normal
ext_326,4,1,0,0,46,Normal
ext_952,3,20,377,1,115,Suspicious
ext_671,3,4,11,0,44,Normal
ext_641,1,9,477,1,177,Suspicious
ext_321,4,1,3,0,39,Normal
ext_294,4,2,18,0,40,Normal
ext_864,4,5,11,1,49,Normal
ext_206,3,2,17,1,37,Normal
ext_773,3,5,14,0,25,Normal
ext_965,2,4,10,0,41,Normal
ext_484,4,3,11,1,33,Normal
ext_100,2,3,19,0,38,Normal
ext_409,1,11,159,1,180,Suspicious
ext_890,1,3,17,0,11,Normal
ext_571,2,2,8,0,42,Normal
ext_338,2,3,2,1,41,Normal
ext_851,2,13,455,1,223,Suspicious
ext_599,4,5,3,0,7,Normal
ext_180,1,3,11,1,31,Normal
ext_990,3,5,0,1,8,Normal
ext_636,3,16,339,1,138,Suspicious
ext_614,1,2,1,1,33,Normal
ext_327,1,4,4,0,26,Normal
ext_587,1,1,17,1,21,Normal
ext_508,2,2,4,1,40,Normal
ext_599,1,5,6,0,20,Normal
ext_372,4,3,18,0,12,Normal
ext_533,1,2,10,0,43,Normal
ext_888,2,3,19,1,44,Normal
ext_551,3,11,152,1,275,Suspicious
ext_259,2,1,3,0,20,Normal
ext_989,1,3,0,0,49,Normal
ext_412,2,1,10,0,39,Normal
ext_308,2,3,17,1,44,Normal
ext_811,2,1,12,0,21,Normal
ext_161,1,5,8,0,34,Normal
ext_168,3,3,11,0,6,Normal
ext_988,1,4,7,1,37,Normal
ext_423,2,5,17,0,16,Normal
ext_612,3,5,0,0,20,Normal
ext_441,3,2,0,0,48,Normal
ext_463,3,2,16,0,8,Normal
ext_999,2,1,17,0,19,Normal
ext_449,2,2,2,1,38,Normal
ext_527,3,2,13,0,43,Normal
ext_559,2,2,20,0,42,Normal
ext_983,2,5,4,1,14,Normal
ext_425,2,16,418,1,130,Suspicious
ext_425,4,2,0,0,31,Normal
ext_410,2,3,4,0,11,Normal
ext_289,2,17,365,1,168,Suspicious
ext_710,4,1,11,0,49,Normal
ext_237,4,5,15,0,16,Normal
ext_603,4,2,6,0,7,Normal
ext_882,2,3,13,0,47,Normal
ext_875,3,2,14,1,49,Normal
ext_987,4,2,13,1,7,Normal
ext_837,1,5,18,0,38,Normal
ext_562,4,1,7,1,7,Normal
ext_628,4,1,6,0,33,Normal
ext_411,3,3,14,0,32,Normal
ext_727,4,5,4,1,46,Normal
ext_192,4,1,5,0,30,Normal
ext_431,1,2,14,0,34,Normal
ext_356,4,2,3,0,12,Normal
ext_749,4,5,12,0,29,Normal
ext_144,2,3,18,0,15,Normal
ext_283,4,1,13,0,24,Normal
ext_395,3,1,4,0,5,Normal
ext_112,4,4,17,0,43,Normal
ext_343,1,4,14,1,33,Normal
ext_715,2,2,17,0,44,Normal
ext_150,2,1,20,0,7,Normal
ext_974,3,17,479,1,254,Suspicious
ext_439,2,1,3,1,16,Normal
ext_788,3,5,18,0,34,Normal
ext_136,4,12,215,1,194,Suspicious
ext_939,1,14,481,1,240,Suspicious
ext_399,4,1,8,0,38,Normal
ext_637,1,2,19,0,11,Normal
ext_595,3,5,9,1,43,Normal
ext_365,4,5,11,0,44,Normal
ext_632,2,4,15,0,44,Normal
ext_825,4,2,0,0,6,Normal
ext_740,1,2,19,1,31,Normal
ext_441,3,2,0,0,49,Normal
ext_360,1,3,9,0,5,Normal
ext_802,2,4,18,0,16,Normal
ext_438,2,4,15,0,46,Normal
ext_593,4,4,17,0,34,Normal
ext_860,3,16,203,1,244,Suspicious
ext_668,1,2,18,0,27,Normal
ext_252,2,1,10,1,45,Normal
ext_684,3,2,19,0,24,Normal
ext_826,2,14,94,1,227,Suspicious
ext_480,1,3,6,0,16,Normal
ext_483,1,2,2,1,37,Normal
ext_918,4,5,4,0,26,Normal
ext_850,2,3,10,0,11,Normal
ext_310,3,4,12,0,5,Normal
ext_145,1,5,2,0,34,Normal
ext_205,2,3,0,0,45,Normal
ext_428,1,3,8,0,33,Normal
ext_379,1,3,3,0,44,Normal
ext_311,3,5,10,0,14,Normal
ext_687,4,1,9,0,39,Normal
ext_151,1,4,1,0,29,Normal
ext_188,3,2,19,1,44,Normal
ext_419,2,2,17,0,34,Normal
ext_195,4,4,3,1,24,Normal
ext_581,4,2,4,0,28,Normal
ext_287,1,3,10,1,36,Normal
ext_166,3,3,15,1,15,Normal
ext_886,1,5,4,0,30,Normal
ext_433,4,1,9,1,30,Normal
ext_344,1,5,5,1,29,Normal
ext_448,3,5,13,1,41,Normal
ext_657,4,2,2,1,12,Normal
ext_433,1,4,5,0,30,Normal
ext_712,1,5,12,0,36,Normal
ext_192,2,2,18,0,14,Normal
ext_563,2,4,19,1,17,Normal
ext_797,3,3,18,0,32,Normal
ext_191,3,5,16,1,13,Normal
ext_163,3,5,1,0,50,Normal
ext_212,4,1,7,1,49,Normal
ext_740,2,4,12,1,32,Normal
ext_778,4,2,6,1,28,Normal
ext_257,1,2,4,0,9,Normal
ext_247,2,4,13,0,10,Normal
ext_757,2,4,19,1,44,Normal
ext_565,2,5,14,1,27,Normal
ext_290,3,1,18,1,20,Normal
ext_520,4,5,11,0,7,Normal
ext_821,3,5,15,0,14,Normal
ext_576,4,5,19,0,20,Normal
ext_745,1,1,20,0,44,Normal
ext_451,4,1,15,1,37,Normal
ext_687,2,4,11,0,23,Normal
ext_136,4,5,9,0,8,Normal
ext_692,4,1,9,0,23,Normal
ext_184,3,1,8,0,13,Normal
ext_381,2,1,3,0,42,Normal
ext_774,2,2,8,0,36,Normal
ext_918,2,1,10,0,14,Normal
ext_957,4,4,12,0,47,Normal
ext_843,3,2,18,0,8,Normal
ext_873,4,1,5,1,30,Normal
ext_408,4,5,7,1,48,Normal
ext_585,4,5,13,0,23,Normal
ext_491,3,5,1,0,39,Normal
ext_964,1,3,10,0,22,Normal
ext_361,2,4,14,0,48,Normal
ext_632,1,2,10,0,48,Normal
ext_951,1,14,100,1,234,Suspicious
ext_801,1,2,9,0,17,Normal
ext_124,1,1,19,0,43,Normal
ext_825,2,1,19,0,29,Normal
ext_213,1,3,9,1,47,Normal
ext_754,2,3,13,0,21,Normal
ext_899,4,20,81,1,197,Suspicious
ext_440,1,3,8,0,33,Normal
ext_603,4,2,19,1,16,Normal
ext_211,3,4,6,0,33,Normal
ext_205,3,9,342,1,286,Suspicious
ext_895,4,4,4,0,7,Normal
ext_372,4,3,12,0,37,Normal
ext_589,4,1,17,0,5,Normal
ext_805,3,4,3,0,26,Normal
ext_510,3,18,96,1,193,Suspicious
ext_182,1,3,20,0,16,Normal
ext_493,3,3,12,0,45,Normal
ext_598,2,18,274,1,288,Suspicious
ext_243,2,8,418,1,251,Suspicious
ext_600,4,5,20,0,36,Normal
ext_116,1,8,222,1,284,Suspicious
ext_515,2,5,14,0,42,Normal
ext_173,1,10,300,1,267,Suspicious
ext_582,2,5,1,0,49,Normal
ext_114,2,1,9,0,34,Normal
ext_955,2,1,3,1,43,Normal
ext_164,1,4,10,1,25,Normal
ext_800,2,2,10,0,7,Normal
ext_443,4,12,122,1,293,Suspicious
ext_272,1,5,5,1,20,Normal
ext_236,2,18,363,1,196,Suspicious
ext_116,1,1,0,0,16,Normal
ext_823,2,3,13,1,49,Normal
ext_311,2,3,16,1,31,Normal
ext_278,4,1,19,0,50,Normal
ext_726,2,3,11,1,5,Normal
ext_296,2,5,3,0,39,Normal
ext_575,1,2,8,0,17,Normal
ext_915,1,4,15,0,15,Normal
ext_155,3,3,6,1,21,Normal
ext_731,2,4,1,0,8,Normal
ext_261,2,4,16,0,9,Normal
ext_838,3,5,10,1,17,Normal
ext_335,4,3,7,0,20,Normal
ext_990,4,2,2,1,42,Normal
ext_155,4,2,6,1,16,Normal
ext_482,2,2,20,0,22,Normal
ext_443,1,5,1,0,13,Normal
ext_972,3,4,5,0,19,Normal
ext_718,4,5,5,0,10,Normal
ext_977,3,2,18,1,34,Normal
ext_114,2,2,7,0,32,Normal
ext_705,1,5,0,1,7,Normal
